run_id,process_count,rank,local_index,task_id,mapping_rule
mpi-final_macbook_air_2d-N824-P4,4,0,0,0,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,0,1,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,0,2,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,0,3,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,1,4,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,1,5,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,1,6,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,1,7,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,2,8,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,2,9,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,2,10,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,2,11,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,3,12,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,3,13,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,3,14,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,3,15,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,4,16,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,4,17,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,4,18,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,4,19,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,5,20,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,5,21,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,5,22,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,5,23,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,6,24,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,6,25,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,6,26,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,6,27,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,7,28,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,7,29,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,7,30,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,7,31,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,8,32,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,8,33,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,8,34,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,8,35,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,9,36,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,9,37,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,9,38,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,9,39,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,10,40,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,10,41,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,10,42,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,10,43,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,11,44,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,11,45,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,11,46,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,11,47,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,12,48,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,12,49,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,12,50,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,12,51,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,13,52,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,13,53,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,13,54,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,13,55,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,14,56,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,14,57,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,14,58,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,14,59,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,15,60,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,15,61,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,15,62,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,15,63,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,16,64,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,16,65,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,16,66,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,16,67,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,17,68,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,17,69,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,17,70,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,17,71,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,18,72,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,18,73,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,18,74,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,18,75,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,19,76,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,1,19,77,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,2,19,78,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,3,19,79,task_id mod process_count
mpi-final_macbook_air_2d-N824-P4,4,0,20,80,task_id mod process_count
