run_id,process_count,rank,local_index,task_id,mapping_rule
mpi-final_macbook_air_2d-N412-P4,4,3,61,247,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,62,248,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,62,249,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,62,250,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,62,251,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,63,252,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,63,253,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,63,254,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,63,255,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,64,256,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,64,257,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,64,258,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,64,259,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,65,260,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,65,261,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,65,262,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,65,263,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,66,264,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,66,265,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,66,266,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,66,267,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,67,268,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,67,269,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,67,270,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,67,271,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,68,272,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,68,273,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,68,274,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,68,275,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,69,276,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,69,277,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,69,278,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,69,279,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,70,280,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,70,281,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,70,282,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,70,283,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,71,284,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,71,285,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,71,286,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,71,287,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,72,288,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,72,289,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,72,290,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,72,291,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,73,292,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,73,293,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,73,294,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,73,295,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,74,296,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,74,297,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,74,298,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,74,299,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,75,300,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,75,301,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,75,302,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,75,303,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,76,304,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,76,305,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,76,306,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,76,307,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,77,308,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,77,309,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,77,310,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,77,311,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,78,312,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,78,313,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,78,314,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,78,315,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,79,316,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,79,317,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,79,318,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,79,319,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,80,320,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,80,321,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,80,322,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,80,323,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,81,324,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,81,325,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,81,326,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,81,327,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,82,328,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,82,329,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,82,330,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,82,331,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,83,332,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,83,333,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,83,334,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,83,335,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,84,336,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,84,337,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,84,338,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,84,339,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,85,340,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,85,341,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,85,342,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,85,343,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,86,344,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,86,345,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,86,346,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,86,347,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,87,348,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,87,349,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,87,350,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,87,351,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,88,352,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,88,353,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,88,354,task_id mod process_count
