task_id,serial_seed,mpi_seed,serial_rank,mpi_rank,serial_best_cost,mpi_best_cost,cost_difference,seed_match,cost_close,present_in_serial,present_in_mpi,passed
0,20260617,20260617,0,0,0.009058685973286629,0.009058685973286629,0.0,True,True,True,True,True
1,20260618,20260618,0,1,0.009140013717114925,0.009140013717114925,0.0,True,True,True,True,True
